,animal,hair,feathers,eggs,milk,airbourne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,fish
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,mammal
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
13,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,other_invertebrate
14,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,other_invertebrate
15,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,other_invertebrate
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,bird
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,bird
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
25,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,amphibian
26,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,amphibian
27,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
28,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
29,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,mammal
30,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
31,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
32,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,mammal
33,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
34,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
35,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,mammal
36,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
37,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
38,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
39,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,insect
40,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
41,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,bird
42,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,insect
43,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
44,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
45,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
46,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,other_invertebrate
47,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
48,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,mammal
49,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
50,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
51,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
52,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,amphibian
53,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,other_invertebrate
54,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
55,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
56,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,bird
57,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
58,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,bird
59,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
60,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
61,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
62,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,reptile
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,mammal
64,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
65,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
66,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
67,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
68,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,mammal
69,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
70,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,bird
72,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,other_invertebrate
73,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
74,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,mammal
75,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,mammal
76,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptile
77,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,other_invertebrate
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
80,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptile
81,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,other_invertebrate
82,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,mammal
85,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,other_invertebrate
86,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,fish
87,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,bird
88,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
89,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,amphibian
90,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptile
91,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptile
92,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
93,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
94,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,bird
96,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,mammal
97,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,insect
98,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
99,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,other_invertebrate
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
